Company,AI Pricing Model,Category,Employees,URL
github,Addon,Design & Development,1001-10000,https://github.com/pricing
gitlab,Addon,Design & Development,1001-10000,https://about.gitlab.com/pricing/
goto,Tiered,Collaboration & Productivity,1001-10000,https://www.goto.com/pricing/meeting
grammarly,Usage,Collaboration & Productivity,1001-10000,https://www.grammarly.com/plans
harness,Tiered,Design & Development,101-1000,https://harness.io/pricing/
hive,Tiered,Project Management & Maintenance,51-100,https://hive.com/pricing
hiverhq,Tiered,Collaboration & Productivity,101-1000,https://hiverhq.com/pricing
hootsuite,Addon,Marketing & Sales,1001-10000,https://www.hootsuite.com/plans
huggingface,Usage,Artificial Intelligence,101-1000,https://huggingface.co/pricing
ifttt,Tiered,Collaboration & Productivity,51-100,https://ifttt.com/plans
imgix,Tiered,Design & Development,51-100,https://imgix.com/pricing
izea,Tiered,Marketing & Sales,101-1000,https://izea.com/flex/pricing/
lattice,Tiered,Human Resources & Legal,101-1000,https://lattice.com/pricing
learnworlds,Tiered,Marketing & Sales,101-1000,https://learnworlds.com/pricing
logicmonitor,Usage,Cybersecurity & IT Management,1001-10000,https://www.logicmonitor.com/pricing
logrocket,Tiered,Analytics,101-1000,https://logrocket.com/pricing
lokalise,Usage,Collaboration & Productivity,101-1000,https://lokalise.com/pricing
loom,Addon,Collaboration & Productivity,101-1000,https://loom.com/pricing
lytics,Tiered,Analytics,51-100,https://lytics.com/pricing
madgicx,Tiered,Marketing & Sales,101-1000,https://madgicx.com/pricing
mailchimp,Tiered,Collaboration & Productivity,101-1000,https://mailchimp.com/pricing/marketing/?currency=USD
manatal,Tiered,Human Resources & Legal,51-100,https://manatal.com/pricing
mixmax,Tiered,Collaboration & Productivity,101-1000,https://mixmax.com/pricing
mixpanel,Usage,Analytics,101-1000,https://mixpanel.com/pricing
mobilexpense,Tiered,Financial & Accounting,101-1000,https://mobilexpense.com/pricing
mongodb,Usage,Cybersecurity & IT Management,1001-10000,https://www.mongodb.com/pricing
notion,Addon,Collaboration & Productivity,1001-10000,https://www.notion.so/pricing
oneplan,Tiered,Project Management & Maintenance,101-1000,https://oneplan.ai/pricing
openai,Usage,Artificial Intelligence,1001-10000,https://openai.com/pricing
otter,Tiered,Collaboration & Productivity,101-1000,https://otter.ai/pricing
pagerduty,Usage,Cybersecurity & IT Management,1001-10000,https://www.pagerduty.com/pricing/
pardot,Tiered,Marketing & Sales,10000+,https://www.salesforce.com/products/marketing-pricing/
pinecone,Usage,Artificial Intelligence,101-1000,https://www.pinecone.io/pricing/
pipedrive,Tiered,Collaboration & Productivity,101-1000,https://pipedrive.com/pricing
podium,Tiered,Marketing & Sales,1001-10000,https://podium.com/pricing
postman,Addon,Design & Development,1001-10000,https://www.postman.com/pricing/
renderforest,Tiered,Design & Development,101-1000,https://renderforest.com/pricing
reply,Usage,Marketing & Sales,101-1000,https://reply.io/pricing/
resemble,Usage,Artificial Intelligence,11-50,https://www.resemble.ai/pricing/
revenue,Tiered,Marketing & Sales,101-1000,https://www.revenue.io/pricing
ringcentral,Tiered,Collaboration & Productivity,1001-10000,https://www.ringcentral.com/ca/en/office/plansandpricing.html
salesforce.marketing-cloud.account-engagement,Tiered,Marketing & Sales,10000+,https://www.salesforce.com/editions-pricing/marketing-cloud/account-engagement/
salesloft,Tiered,Marketing & Sales,1001-10000,https://salesloft.com/pricing
scheduleonce,Tiered,Collaboration & Productivity,101-1000,https://scheduleonce.com/pricing
scratchpad,Addon,Marketing & Sales,51-100,https://www.scratchpad.com/pricing
semrush,Addon,Analytics,1001-10000,https://semrush.com/pricing
slack,Addon,Collaboration & Productivity,101-1000,https://slack.com/pricing
smarterqueue,Usage,Marketing & Sales,101-1000,https://smarterqueue.com/pricing
smartsheet,Tiered,Project Management & Maintenance,1001-10000,https://www.smartsheet.com/pricing
speechmatics,Usage,Artificial Intelligence,101-1000,https://www.speechmatics.com/pricing
sproutsocial,Tiered,Marketing & Sales,1001-10000,https://sproutsocial.com/pricing/
thoughtspot,Tiered,Analytics,1001-10000,https://thoughtspot.com/pricing
uizard,Usage,Design & Development,51-100,https://uizard.io/
unbounce,Tiered,Marketing & Sales,101-1000,https://unbounce.com/pricing
userlytics,Tiered,Analytics,101-1000,https://userlytics.com/pricing
veed,Usage,Design & Development,101-1000,https://www.veed.io/pricing
vidyard,Tiered,Marketing & Sales,1001-10000,https://vidyard.com/pricing
voiceflow,Usage,Artificial Intelligence,101-1000,https://www.voiceflow.com/pricing
waveapps,Addon,Financial & Accounting,101-1000,https://www.waveapps.com/pricing
wisestep,AddonFee,Human Resources & Legal,51-100,https://wisestep.com/pricing
workable,Tiered,Human Resources & Legal,101-1000,https://www.workable.com/pricing
wrike,Tiered,Project Management & Maintenance,1001-10000,https://www.wrike.com/price/
zenhub,Tiered,Project Management & Maintenance,51-100,https://zenhub.com/pricing
ziprecruiter,Tiered,Human Resources & Legal,1001-10000,https://ziprecruiter.com/pricing
zoho.recruit,Tiered,Human Resources & Legal,10000+,https://www.zoho.com/recruit/pricing.html
